Species # Nr of segments: Nr of reference trees # Nr of segments: Nr of reference trees # Nr of segments: Nr of reference trees # Nr of segments: Nr of reference trees # Nr of segments: Nr of reference trees # Nr of segments: Nr of reference trees # Nr of segments: Nr of reference trees # Nr of segments: Nr of reference trees # Nr of segments: Nr of reference trees # All
# Oversegmentation # Oversegmentation # Oversegmentation # Oversegmentation # Oversegmentation # Correct # Undersegmentation # Undersegmentation # Undersegmentation #
# 6:1 # 5:1 # 4:1 # 3:1 # 2:1 # 1:1 # 1:2 # 1:3 # 1:4 #
Birch # 1 # 0 # 0 # 0 # 5 # 71 # 45 # 6 # 4 # 132
Oak # 0 # 0 # 3 # 0 # 7 # 53 # 19 # 8 # 3 # 93
Hornbeam # 0 # 0 # 0 # 0 # 6 # 75 # 40 # 13 # 1 # 135
Maple # 0 # 0 # 0 # 2 # 1 # 9 # 4 # 3 # 0 # 19
Lime # 0 # 0 # 1 # 0 # 5 # 35 # 18 # 7 # 0 # 66
Alder # 0 # 0 # 0 # 0 # 2 # 58 # 31 # 11 # 0 # 102
Poplar # 0 # 0 # 0 # 1 # 2 # 8 # 6 # 2 # 0 # 19
Pine # 0 # 0 # 0 # 2 # 6 # 229 # 62 # 31 # 4 # 334
Spruce # 0 # 0 # 0 # 1 # 2 # 179 # 73 # 30 # 4 # 289
Other # 0 # 0 # 0 # 0 # 0 # 7 # 0 # 0 # 0 # 7
All # 1 # 0 # 4 # 6 # 36 # 724 # 298 # 111 # 16 # 1196
